timestamp,record_type,user_id,event_code,event_description,resource_name,return_code,ip_address,system_id,job_name,success
2026-05-13T08:19:39.731671,80,IBMUSER,13,Access Violation,SYS1.PARMLIB,4,10.55.239.63,SYSB,IKJEFT,False
2026-05-11T16:00:39.731671,80,ADMIN,13,Access Violation,SYS1.PARMLIB,0,10.197.118.211,SYSB,IKJEFT,True
2026-05-11T12:46:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.15.188,MVSProd1,TSO,
2026-05-11T12:51:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.62.161,SYSB,TSO,
2026-05-11T12:28:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.67.65,MVSA,TSO,
2026-05-11T12:25:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.87.137,MVSA,TSO,
2026-05-12T05:16:39.731671,80,BRUTEFORCE,2,Logon Failure - Invalid Password,APF.LIBRARY,8,10.153.210.213,MVSProd1,JES2,False
2026-05-11T23:25:39.731671,80,IBMUSER,13,Access Violation,RACF.PROFILE,12,10.51.191.30,MVSA,RACF,False
2026-05-11T19:58:39.731671,80,ADMIN,13,Access Violation,SYS1.PROCLIB,0,10.216.108.20,MVSA,IKJEFT,True
2026-05-11T12:33:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.67.250,MVSProd1,TSO,
2026-05-11T12:51:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.64.131,MVSProd1,TSO,
2026-05-11T12:42:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.73.199,SYSB,TSO,
2026-05-11T12:24:39.731671,80,BRUTEFORCE,2,RACF Logon Failure - Invalid Password,TSO.LOGON,8,192.168.81.190,MVSA,TSO,
2026-05-11T22:27:39.731671,80,BRUTEFORCE,13,Access Violation,SYS1.PROCLIB,8,10.124.76.97,MVSA,RACF,False
2026-05-13T03:54:39.731671,80,BRUTEFORCE,18,Privilege Escalation Attempt,DB2.TABLESPACE,8,10.195.127.69,MVSA,JES2,False
